"year","last_name, first_name","player_id","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
2022,"Tucker, Kyle",663656,609,451,0.257,0.262,-0.005,0.478,0.482,-0.004,0.348,0.353,-0.005
2022,"Mountcastle, Ryan",663624,609,408,0.25,0.277,-0.027,0.423,0.509,-0.086,0.316,0.362,-0.046
2022,"Altuve, Jose",514888,604,441,0.3,0.269,0.031,0.533,0.44,0.093,0.397,0.354,0.043
2022,"Arraez, Luis",650333,603,507,0.316,0.288,0.028,0.42,0.408,0.012,0.35,0.333,0.017
2022,"Crawford, J.P.",641487,603,445,0.243,0.255,-0.012,0.336,0.337,-0.001,0.306,0.315,-0.00900000000000001
2022,"Frazier, Adam",624428,602,478,0.238,0.262,-0.024,0.311,0.339,-0.028,0.274,0.297,-0.023
2022,"Flores, Wilmer",527038,602,429,0.229,0.233,-0.004,0.394,0.37,0.024,0.312,0.31,0.002
2022,"Tellez, Rowdy",642133,599,411,0.219,0.252,-0.033,0.461,0.479,-0.018,0.327,0.349,-0.022
2022,"McMahon, Ryan",641857,597,374,0.246,0.247,-0.001,0.414,0.423,-0.00900000000000001,0.326,0.33,-0.004
2022,"Straw, Myles",664702,596,454,0.221,0.236,-0.015,0.273,0.301,-0.028,0.257,0.275,-0.018
2022,"Martinez, J.D.",502110,596,393,0.274,0.26,0.014,0.448,0.471,-0.023,0.343,0.349,-0.00599999999999995
2022,"Varsho, Daulton",662139,592,393,0.235,0.213,0.022,0.443,0.389,0.054,0.323,0.298,0.025
2022,"Báez, Javier",595879,590,411,0.238,0.226,0.012,0.393,0.374,0.019,0.291,0.281,0.00999999999999995
2022,"Correa, Carlos",621043,590,405,0.291,0.276,0.015,0.467,0.484,-0.017,0.362,0.363,-0.001
2022,"McNeil, Jeff",643446,589,477,0.326,0.28,0.046,0.454,0.389,0.065,0.365,0.323,0.042
2022,"Mancini, Trey",641820,587,389,0.239,0.245,-0.00600000000000001,0.391,0.41,-0.019,0.312,0.327,-0.015
2022,"Gurriel, Yuli",493329,584,475,0.242,0.24,0.002,0.36,0.319,0.041,0.285,0.271,0.014
2022,"Springer, George",543807,583,418,0.267,0.265,0.002,0.472,0.437,0.035,0.352,0.342,0.00999999999999995
2022,"Farmer, Kyle",571657,583,435,0.255,0.258,-0.003,0.386,0.38,0.00600000000000001,0.309,0.311,-0.002
2022,"Hays, Austin",669720,582,424,0.25,0.24,0.01,0.413,0.372,0.041,0.314,0.298,0.016
2022,"Kim, Ha-Seong",673490,582,424,0.251,0.25,0.001,0.383,0.368,0.015,0.313,0.309,0.004
2022,"Rodgers, Brendan",663898,581,431,0.266,0.265,0.001,0.408,0.404,0.00399999999999995,0.321,0.326,-0.005
2022,"McCutchen, Andrew",457705,580,395,0.237,0.252,-0.015,0.384,0.406,-0.022,0.309,0.325,-0.016
2022,"Smith, Will",669257,578,416,0.26,0.257,0.003,0.465,0.473,-0.00799999999999995,0.349,0.352,-0.003
2022,"Andrus, Elvis",462101,577,443,0.249,0.245,0.004,0.404,0.36,0.044,0.31,0.293,0.017
2022,"Blackmon, Charlie",453568,577,428,0.264,0.256,0.00800000000000001,0.419,0.376,0.043,0.317,0.301,0.016
2022,"Torres, Gleyber",650402,572,401,0.257,0.244,0.013,0.451,0.441,0.01,0.328,0.319,0.00900000000000001
2022,"Drury, Brandon",592273,568,396,0.263,0.242,0.021,0.492,0.42,0.072,0.35,0.316,0.034
2022,"Voit, Luke",572228,568,327,0.226,0.222,0.004,0.402,0.434,-0.032,0.311,0.322,-0.011
2022,"Muncy, Max",571970,565,329,0.196,0.208,-0.012,0.384,0.417,-0.033,0.318,0.339,-0.021
2022,"Ward, Taylor",621493,564,380,0.281,0.268,0.013,0.473,0.474,-0.001,0.362,0.361,0.001
2022,"Realmuto, J.T.",592663,562,390,0.276,0.275,0.001,0.478,0.463,0.015,0.354,0.351,0.003
2022,"Alvarez, Yordan",670541,561,371,0.306,0.329,-0.023,0.613,0.672,-0.0590000000000001,0.427,0.462,-0.035
2022,"Hayes, Ke'Bryan",663647,560,385,0.244,0.25,-0.00600000000000001,0.345,0.354,-0.00900000000000001,0.294,0.303,-0.00900000000000001
2022,"Rodríguez, Julio",677594,560,367,0.284,0.254,0.03,0.509,0.46,0.049,0.366,0.337,0.029
2022,"Peña, Jeremy",665161,558,392,0.253,0.248,0.005,0.426,0.397,0.029,0.309,0.3,0.00900000000000001
2022,"Díaz, Yandy",650490,558,414,0.296,0.288,0.00800000000000001,0.423,0.424,-0.001,0.366,0.365,0.001
2022,"Yastrzemski, Mike",573262,558,351,0.214,0.22,-0.00600000000000001,0.392,0.392,0,0.307,0.314,-0.00700000000000001
2022,"Marte, Ketel",606466,558,396,0.24,0.251,-0.011,0.407,0.377,0.03,0.317,0.315,0.002
2022,"Castellanos, Nick",592206,558,396,0.263,0.25,0.013,0.389,0.395,-0.00600000000000001,0.304,0.302,0.002
2022,"Kemp, Tony",643393,558,436,0.235,0.219,0.016,0.334,0.291,0.043,0.287,0.267,0.02
2022,"Giménez, Andrés",665926,557,386,0.297,0.257,0.04,0.466,0.4,0.066,0.364,0.326,0.038
2022,"Vaughn, Andrew",683734,555,419,0.271,0.255,0.016,0.429,0.415,0.014,0.327,0.319,0.00800000000000001
2022,"Brown, Seth",664913,555,355,0.23,0.251,-0.021,0.444,0.454,-0.01,0.323,0.338,-0.015
2022,"Urshela, Gio",570482,551,412,0.285,0.268,0.017,0.429,0.416,0.013,0.332,0.323,0.00900000000000001
2022,"Bellinger, Cody",641355,550,360,0.21,0.213,-0.003,0.389,0.354,0.035,0.284,0.278,0.00599999999999995
2022,"Merrifield, Whit",593160,550,427,0.25,0.24,0.01,0.375,0.356,0.019,0.294,0.288,0.00600000000000001
2022,"Rizzo, Anthony",519203,548,366,0.224,0.239,-0.015,0.48,0.454,0.026,0.352,0.349,0.003
2022,"Thomas, Lane",657041,548,371,0.241,0.222,0.019,0.404,0.357,0.047,0.308,0.286,0.022
2022,"Winker, Jesse",608385,547,356,0.219,0.249,-0.03,0.344,0.403,-0.0590000000000001,0.313,0.345,-0.032
2022,"Donaldson, Josh",518626,546,336,0.222,0.215,0.00700000000000001,0.374,0.37,0.004,0.302,0.299,0.003
2022,"Canha, Mark",592192,542,369,0.266,0.245,0.021,0.403,0.362,0.041,0.343,0.323,0.02
2022,"Escobar, Eduardo",500871,542,372,0.24,0.243,-0.003,0.43,0.427,0.003,0.311,0.314,-0.003
2022,"Estrada, Thairo",642731,541,405,0.26,0.246,0.014,0.4,0.352,0.048,0.317,0.299,0.018
2022,"LeMahieu, DJ",518934,541,399,0.261,0.274,-0.013,0.377,0.403,-0.026,0.329,0.344,-0.015
2022,"Kirk, Alejandro",672386,541,416,0.285,0.278,0.00699999999999995,0.415,0.431,-0.016,0.347,0.351,-0.004
2022,"Grichuk, Randal",545341,538,381,0.259,0.229,0.03,0.425,0.37,0.055,0.315,0.281,0.034
2022,"Hernández, Teoscar",606192,535,347,0.267,0.265,0.002,0.491,0.501,-0.01,0.348,0.351,-0.003
2022,"Melendez, MJ",669004,534,336,0.217,0.237,-0.02,0.393,0.41,-0.017,0.31,0.332,-0.022
2022,"Wisdom, Patrick",621550,534,289,0.207,0.188,0.019,0.426,0.38,0.046,0.316,0.295,0.021
2022,"Acuña Jr., Ronald",660670,533,344,0.266,0.272,-0.00600000000000001,0.413,0.484,-0.071,0.335,0.365,-0.03
2022,"Mateo, Jorge",622761,533,352,0.221,0.222,-0.001,0.379,0.344,0.035,0.281,0.272,0.00900000000000001
2022,"Turner, Justin",457759,532,387,0.278,0.267,0.011,0.438,0.427,0.011,0.343,0.339,0.004
2022,"Kiner-Falefa, Isiah",643396,531,419,0.261,0.262,-0.001,0.327,0.333,-0.00600000000000001,0.285,0.29,-0.005
2022,"Pollock, AJ",572041,527,395,0.245,0.258,-0.013,0.389,0.419,-0.03,0.297,0.317,-0.02
2022,"Grisham, Trent",663757,524,310,0.184,0.205,-0.021,0.341,0.358,-0.017,0.28,0.296,-0.016
2022,"Renfroe, Hunter",592669,522,358,0.255,0.24,0.015,0.492,0.438,0.054,0.347,0.323,0.024
2022,"Benintendi, Andrew",643217,521,390,0.304,0.273,0.031,0.399,0.407,-0.00799999999999995,0.342,0.334,0.00800000000000001
2022,"Hoerner, Nico",663538,517,426,0.281,0.27,0.011,0.41,0.367,0.043,0.32,0.301,0.019
2022,"Rengifo, Luis",650859,511,411,0.264,0.254,0.01,0.429,0.392,0.037,0.314,0.296,0.018
2022,"Rojas, Josh",668942,510,355,0.269,0.239,0.03,0.391,0.361,0.03,0.326,0.305,0.021
2022,"Schoop, Jonathan",570731,510,378,0.202,0.228,-0.026,0.322,0.338,-0.016,0.245,0.268,-0.023
2022,"Rojas, Miguel",500743,507,414,0.236,0.264,-0.028,0.323,0.347,-0.024,0.268,0.293,-0.025
2022,"Aguilar, Jesús",542583,507,350,0.235,0.24,-0.005,0.379,0.393,-0.014,0.288,0.298,-0.01
2022,"Ozuna, Marcell",542303,507,352,0.226,0.256,-0.03,0.413,0.478,-0.065,0.298,0.337,-0.039
2022,"Cruz, Nelson",443558,507,332,0.234,0.241,-0.00699999999999998,0.337,0.399,-0.062,0.292,0.32,-0.028
2022,"Santana, Carlos",467793,506,345,0.202,0.253,-0.051,0.376,0.438,-0.062,0.308,0.352,-0.044
2022,"Marte, Starling",516782,505,369,0.292,0.276,0.016,0.468,0.428,0.04,0.355,0.336,0.019
2022,"Perdomo, Geraldo",672695,500,342,0.195,0.213,-0.018,0.262,0.282,-0.02,0.253,0.269,-0.016
2022,"Dozier, Hunter",641531,500,338,0.236,0.241,-0.005,0.387,0.387,0,0.298,0.301,-0.003
2022,"Trout, Mike",545361,499,300,0.283,0.265,0.018,0.63,0.583,0.047,0.418,0.395,0.023
2022,"Naylor, Josh",647304,498,374,0.256,0.257,-0.001,0.452,0.43,0.022,0.331,0.327,0.004
2022,"Wong, Kolten",543939,497,349,0.251,0.235,0.016,0.43,0.353,0.077,0.336,0.305,0.031
2022,"Gurriel Jr., Lourdes",666971,493,372,0.291,0.273,0.018,0.4,0.4,0,0.327,0.321,0.00600000000000001
2022,"Espinal, Santiago",669289,491,385,0.267,0.263,0.004,0.37,0.348,0.022,0.305,0.298,0.00700000000000001
2022,"Peralta, David",444482,490,331,0.251,0.249,0.002,0.415,0.399,0.016,0.315,0.313,0.002
2022,"Carlson, Dylan",666185,488,342,0.236,0.234,0.00199999999999997,0.38,0.355,0.025,0.306,0.301,0.005
2022,"Contreras, Willson",575929,487,315,0.243,0.256,-0.013,0.466,0.463,0.003,0.357,0.364,-0.00700000000000001
2022,"Miranda, Jose",669304,483,354,0.268,0.253,0.015,0.426,0.41,0.016,0.329,0.317,0.012
2022,"Lopez, Nicky",670032,480,384,0.227,0.243,-0.016,0.273,0.312,-0.039,0.251,0.273,-0.022
2022,"Grossman, Robbie",543257,477,286,0.209,0.205,0.004,0.311,0.305,0.00600000000000001,0.283,0.281,0.00199999999999995
2022,"Reyes, Franmil",614177,473,284,0.221,0.203,0.018,0.365,0.358,0.00700000000000001,0.28,0.275,0.005
2022,"Perez, Salvador",521692,473,339,0.254,0.242,0.012,0.465,0.47,-0.00499999999999995,0.324,0.323,0.001
2022,"Urías, Luis",649966,472,312,0.239,0.238,0.001,0.404,0.398,0.00600000000000001,0.327,0.326,0.001
2022,"Miller, Owen",680911,472,340,0.243,0.246,-0.003,0.351,0.341,0.00999999999999995,0.287,0.291,-0.004
2022,"Odor, Rougned",596059,472,321,0.207,0.207,0,0.357,0.339,0.018,0.278,0.277,0.001
2022,"Sánchez, Gary",596142,471,288,0.205,0.22,-0.015,0.377,0.439,-0.062,0.29,0.321,-0.031
2022,"Lux, Gavin",666158,471,329,0.276,0.247,0.029,0.399,0.372,0.027,0.328,0.314,0.014
2022,"Rutschman, Adley",668939,470,315,0.254,0.248,0.00600000000000001,0.445,0.411,0.034,0.354,0.342,0.012
2022,"Cooper, Garrett",643265,469,300,0.261,0.26,0.001,0.415,0.436,-0.021,0.33,0.341,-0.011
2022,"Donovan, Brendan",680977,468,324,0.281,0.266,0.015,0.379,0.365,0.014,0.349,0.339,0.00999999999999995
2022,"Iglesias, Jose",578428,467,386,0.292,0.266,0.026,0.38,0.323,0.057,0.312,0.281,0.031
2022,"Candelario, Jeimer",600869,467,324,0.217,0.228,-0.011,0.361,0.379,-0.018,0.277,0.292,-0.015
2022,"Joe, Connor",656582,467,308,0.238,0.241,-0.003,0.359,0.34,0.019,0.314,0.311,0.003
2022,"Stott, Bryson",681082,466,340,0.234,0.237,-0.00299999999999997,0.358,0.34,0.018,0.289,0.284,0.005
2022,"Walls, Taylor",670764,466,291,0.172,0.196,-0.024,0.285,0.304,-0.019,0.252,0.27,-0.018
2022,"Vogelbach, Daniel",596129,461,273,0.238,0.236,0.002,0.433,0.428,0.005,0.349,0.35,-0.001
2022,"Marsh, Brandon",669016,461,272,0.245,0.226,0.019,0.384,0.372,0.012,0.296,0.287,0.00900000000000001
2022,"Crawford, Brandon",543063,458,313,0.231,0.217,0.014,0.344,0.339,0.00499999999999995,0.289,0.287,0.002
2022,"Taylor, Michael A.",572191,456,310,0.254,0.223,0.031,0.357,0.358,-0.001,0.297,0.289,0.00800000000000001
2022,"Walsh, Jared",665120,454,285,0.215,0.221,-0.00600000000000001,0.374,0.368,0.00600000000000001,0.278,0.28,-0.002
2022,"Taylor, Chris",621035,454,245,0.221,0.195,0.026,0.373,0.34,0.033,0.298,0.277,0.021
2022,"Hicks, Aaron",543305,453,278,0.216,0.218,-0.002,0.313,0.336,-0.023,0.292,0.303,-0.011
2022,"Stanton, Giancarlo",519317,452,264,0.211,0.24,-0.029,0.462,0.474,-0.012,0.327,0.35,-0.023
2022,"Heim, Jonah",641680,450,321,0.227,0.224,0.003,0.399,0.361,0.038,0.306,0.291,0.015
2022,"Suzuki, Seiya",673548,446,290,0.262,0.247,0.015,0.433,0.418,0.015,0.334,0.326,0.00800000000000001
2022,"Kepler, Max",596146,446,326,0.227,0.266,-0.039,0.348,0.412,-0.064,0.298,0.338,-0.04
2022,"Urías, Ramón",602104,445,312,0.248,0.25,-0.002,0.414,0.42,-0.00600000000000001,0.313,0.32,-0.00700000000000001
2022,"Polanco, Jorge",593871,445,284,0.235,0.248,-0.013,0.405,0.451,-0.046,0.333,0.358,-0.025
2022,"Gordon, Nick",624503,443,309,0.272,0.261,0.011,0.427,0.464,-0.037,0.321,0.333,-0.012
2022,"Castro, Harold",605612,443,346,0.271,0.275,-0.004,0.381,0.423,-0.042,0.297,0.316,-0.019
2022,"Harris II, Michael",671739,441,308,0.297,0.268,0.029,0.514,0.46,0.054,0.368,0.335,0.033
2022,"Ramírez, Harold",623912,435,335,0.3,0.275,0.025,0.404,0.382,0.022,0.327,0.31,0.017
2022,"Moncada, Yoán",660162,433,285,0.212,0.22,-0.00800000000000001,0.353,0.375,-0.022,0.275,0.289,-0.014
2022,"Tapia, Raimel",606132,433,334,0.265,0.256,0.00900000000000001,0.38,0.366,0.014,0.293,0.286,0.00700000000000001
2022,"Ruiz, Keibert",660688,433,347,0.251,0.277,-0.026,0.36,0.403,-0.043,0.299,0.328,-0.029
2022,"Pederson, Joc",592626,433,284,0.274,0.266,0.00800000000000001,0.521,0.502,0.019,0.373,0.367,0.00600000000000001
2022,"Cabrera, Miguel",408234,433,301,0.254,0.234,0.02,0.317,0.331,-0.014,0.275,0.275,0
2022,"India, Jonathan",663697,431,292,0.249,0.238,0.011,0.378,0.353,0.025,0.314,0.301,0.013
2022,"Vázquez, Christian",543877,426,332,0.274,0.262,0.012,0.399,0.375,0.024,0.312,0.301,0.011
2022,"d'Arnaud, Travis",518595,426,306,0.268,0.247,0.021,0.472,0.412,0.06,0.343,0.313,0.03
2022,"Chavis, Michael",656308,426,279,0.229,0.217,0.012,0.389,0.336,0.053,0.282,0.261,0.021
2022,"Harper, Bryce",547180,426,290,0.286,0.288,-0.002,0.514,0.527,-0.013,0.369,0.38,-0.011
2022,"Morel, Christopher",666624,425,247,0.235,0.233,0.00199999999999997,0.433,0.435,-0.002,0.322,0.324,-0.002
2022,"Harrison, Josh",543281,425,319,0.256,0.233,0.023,0.37,0.335,0.035,0.305,0.284,0.021
2022,"Calhoun, Kole",594777,424,255,0.196,0.223,-0.027,0.33,0.382,-0.052,0.26,0.294,-0.034
2022,"Gamel, Ben",592325,423,274,0.232,0.244,-0.012,0.369,0.372,-0.003,0.308,0.316,-0.00800000000000001
2022,"Senzel, Nick",669222,420,300,0.231,0.249,-0.018,0.306,0.355,-0.049,0.272,0.299,-0.027
2022,"Choi, Ji Man",596847,419,236,0.233,0.236,-0.00299999999999997,0.388,0.413,-0.025,0.322,0.337,-0.015
2022,"Hosmer, Eric",543333,419,317,0.268,0.258,0.01,0.382,0.379,0.003,0.313,0.311,0.002
2022,"Greene, Riley",682985,418,259,0.253,0.246,0.00700000000000001,0.362,0.388,-0.026,0.303,0.316,-0.013
2022,"Raleigh, Cal",663728,415,253,0.211,0.216,-0.005,0.489,0.461,0.028,0.33,0.324,0.00600000000000001
2022,"Thomas, Alek",677950,411,312,0.231,0.238,-0.00699999999999998,0.344,0.335,0.00899999999999995,0.272,0.277,-0.005
2022,"Sheets, Gavin",657757,410,294,0.241,0.224,0.017,0.411,0.359,0.052,0.308,0.283,0.025
2022,"Gallo, Joey",608336,410,188,0.16,0.167,-0.00700000000000001,0.357,0.371,-0.014,0.286,0.294,-0.00800000000000001
2022,"Daza, Yonathan",602074,408,320,0.301,0.282,0.019,0.384,0.351,0.033,0.323,0.308,0.015
2022,"McCormick, Chas",676801,407,254,0.245,0.232,0.013,0.407,0.414,-0.00700000000000001,0.326,0.325,0.001
2022,"Robles, Victor",645302,407,277,0.224,0.203,0.021,0.311,0.28,0.031,0.26,0.244,0.016
2022,"Taylor, Tyrone",621438,405,274,0.233,0.236,-0.00299999999999997,0.442,0.412,0.03,0.314,0.307,0.00700000000000001
2022,"Torkelson, Spencer",679529,404,263,0.203,0.226,-0.023,0.319,0.378,-0.059,0.272,0.305,-0.033
2022,"Berti, Jon",542932,404,270,0.24,0.236,0.004,0.338,0.358,-0.02,0.298,0.306,-0.00800000000000001
2022,"Hernández, Enrique",571771,402,294,0.222,0.238,-0.016,0.338,0.357,-0.019,0.28,0.297,-0.017
2022,"Robert Jr., Luis",673357,401,304,0.284,0.272,0.012,0.426,0.449,-0.023,0.324,0.327,-0.003
2022,"Nola, Austin",543592,397,297,0.251,0.256,-0.005,0.329,0.351,-0.022,0.29,0.305,-0.015
2022,"Story, Trevor",596115,396,239,0.238,0.221,0.017,0.434,0.397,0.037,0.316,0.301,0.015
2022,"Castro, Willi",650489,392,287,0.241,0.261,-0.02,0.367,0.339,0.028,0.285,0.29,-0.005
2022,"Ruf, Darin",573131,388,232,0.204,0.219,-0.015,0.338,0.371,-0.033,0.291,0.31,-0.019
2022,"Franco, Maikel",596748,388,299,0.229,0.243,-0.014,0.342,0.351,-0.00899999999999995,0.261,0.272,-0.011
2022,"Segura, Jean",516416,387,297,0.277,0.254,0.023,0.387,0.363,0.024,0.32,0.303,0.017
2022,"Stallings, Jacob",607732,384,266,0.223,0.221,0.002,0.292,0.312,-0.02,0.265,0.274,-0.00900000000000001
2022,"O'Neill, Tyler",641933,383,238,0.228,0.24,-0.012,0.392,0.423,-0.031,0.307,0.331,-0.024
2022,"Laureano, Ramón",657656,383,242,0.211,0.219,-0.00800000000000001,0.376,0.402,-0.026,0.294,0.307,-0.013
2022,"Anderson, Brian",605119,383,238,0.222,0.229,-0.00700000000000001,0.346,0.379,-0.033,0.293,0.309,-0.016
2022,"Gonzalez, Oscar",660757,382,289,0.296,0.279,0.017,0.461,0.422,0.039,0.339,0.32,0.019
2022,"Buxton, Byron",621439,382,225,0.224,0.242,-0.018,0.526,0.509,0.017,0.356,0.358,-0.002
2022,"Díaz, Elias",553869,381,272,0.228,0.222,0.00600000000000001,0.368,0.339,0.029,0.284,0.274,0.00999999999999995
2022,"Paredes, Isaac",670623,381,266,0.205,0.21,-0.005,0.435,0.348,0.087,0.323,0.297,0.026
2022,"García, Avisaíl",541645,380,250,0.224,0.23,-0.00600000000000001,0.317,0.366,-0.049,0.258,0.281,-0.023
2022,"Pinder, Chad",640461,379,246,0.235,0.235,0,0.385,0.38,0.005,0.281,0.28,0.001
2022,"Maldonado, Martín",455117,379,234,0.186,0.181,0.005,0.352,0.325,0.027,0.264,0.253,0.011
2022,"García Jr., Luis",671277,377,281,0.275,0.26,0.015,0.408,0.409,-0.001,0.303,0.305,-0.002
2022,"Grandal, Yasmani",518735,376,250,0.202,0.217,-0.015,0.269,0.319,-0.05,0.263,0.29,-0.027
2022,"Votto, Joey",458015,376,225,0.205,0.218,-0.013,0.37,0.39,-0.02,0.31,0.322,-0.012
2022,"Contreras, William",661388,376,232,0.278,0.243,0.035,0.506,0.479,0.027,0.37,0.347,0.023
2022,"Stassi, Max",545358,375,223,0.18,0.18,0,0.303,0.325,-0.022,0.258,0.266,-0.00800000000000001
2022,"Suwinski, Jack",669261,372,213,0.202,0.204,-0.00199999999999997,0.411,0.393,0.018,0.311,0.307,0.004
